Event ID,Player Name,Team Name,Statsbomb Xg,End Location X,End Location Y,End Location Z,Follows Dribble,First Time,Open Goal,Deflected,Technique ID,Technique Name,Body Part ID,Body Part Name,Type ID,Type Name,Outcome ID,Outcome Name,Match ID,Season Name,Competition Name
0929b1f1-68c0-48d4-bbb5-5fc887e54321,Juan Camilo Hernández Suárez,Huesca,0.011664363,117.1,43.6,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
3bba4267-9a68-491c-bfb1-76b31f4ed1ae,Lionel Andrés Messi Cuccittini,Barcelona,0.098762296,118.4,36.9,1.6,False,False,False,False,93,Normal,37,Head,87,Open Play,100,Saved,15973,2018/2019,La Liga
21c25b19-c99c-4b26-b5cf-14336ab4d7a8,Lionel Andrés Messi Cuccittini,Barcelona,0.03473062,97.8,36.1,,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,96,Blocked,15973,2018/2019,La Liga
7141722d-57b9-4213-8b4a-123ef80057cc,Philippe Coutinho Correia,Barcelona,0.03933879,99.1,39.7,,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,96,Blocked,15973,2018/2019,La Liga
441e7692-1c6a-4fce-85ee-9b847915390f,Sergi Roberto Carnicer,Barcelona,0.031235635,117.9,48.9,0.2,False,True,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
3175c38c-1922-4e68-9423-d4e4f89013d2,Ousmane Dembélé,Barcelona,0.04735031,120.0,37.2,2.8,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,99,Post,15973,2018/2019,La Liga
9e57bfc5-9727-4a2c-aa19-fe827763636e,Gonzalo Julián Melero Manzanares,Huesca,0.066464424,118.3,41.6,2.1,False,False,False,False,91,Half Volley,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
804e0794-e6d3-4a11-9d87-96ffc44740b9,Lionel Andrés Messi Cuccittini,Barcelona,0.029354997,120.0,43.1,4.2,False,False,False,False,93,Normal,38,Left Foot,62,Free Kick,98,Off T,15973,2018/2019,La Liga
cc69ce01-bf34-4f38-b333-12a48c689b7f,Gerard Piqué Bernabéu,Barcelona,0.15498605,118.4,35.7,,False,False,False,False,93,Normal,37,Head,87,Open Play,96,Blocked,15973,2018/2019,La Liga
e5639752-aaf4-463d-b011-0918eb87c983,Gerard Piqué Bernabéu,Barcelona,0.2155108,118.5,35.7,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
ea62f95f-e686-4bb0-a8be-bbe356a0130f,Luis Alberto Suárez Díaz,Barcelona,0.45260957,120.0,36.7,0.2,False,True,False,False,93,Normal,40,Right Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
30c13e58-f608-4378-8b2d-af41ec5152b9,Alejandro Gallar Falguera,Huesca,0.5413826,120.0,40.8,0.7,False,True,False,False,95,Volley,38,Left Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
