Match ID,Player Name,Position ID,Start From,End To,From Period,To Period,Start Reason,End Reason
15986,Douglas Luiz Soares de Paulo,13,71:08,73:08,2,2,Substitution - On (Tactical),Tactical Shift
15986,Douglas Luiz Soares de Paulo,10,73:08,,2,,Tactical Shift,Final Whistle
15986,Francesc Aday Benítez Caraballo,7,00:00,,1,,Starting XI,Final Whistle
15986,Pedro Alcalá Guirado,3,00:00,,1,,Starting XI,Final Whistle
15986,Cristian Portugués Manzanera,22,00:00,84:06,1,2,Starting XI,Substitution - Off (Tactical)
15986,Yassine Bounou,1,00:00,,1,,Starting XI,Final Whistle
15986,Aleix García Serrano,15,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
15986,Seydou Doumbia,22,84:06,,2,,Substitution - On (Tactical),Final Whistle
15998,Malcom Filipe Silva de Oliveira,21,70:08,,2,,Substitution - On (Tactical),Final Whistle
15998,Philippe Coutinho Correia,15,00:00,,1,,Starting XI,Final Whistle
15998,Sergio Busquets i Burgos,10,00:00,,1,,Starting XI,Final Whistle
15998,Jordi Alba Ramos,6,70:01,,2,,Substitution - On (Tactical),Final Whistle
15998,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
15998,Luis Alberto Suárez Díaz,23,60:06,,2,,Substitution - On (Tactical),Final Whistle
15998,Ivan Rakitić,13,00:00,,1,,Starting XI,Final Whistle
15998,Ousmane Dembélé,21,00:00,70:08,1,2,Starting XI,Substitution - Off (Tactical)
15998,Samuel Yves Umtiti,5,00:00,,1,,Starting XI,Final Whistle
15998,Lionel Andrés Messi Cuccittini,17,00:00,,1,,Starting XI,Final Whistle
15998,Thomas Vermaelen,6,00:00,70:01,1,2,Starting XI,Substitution - Off (Tactical)
15998,Sergi Roberto Carnicer,2,00:00,,1,,Starting XI,Final Whistle
15998,Munir El Haddadi Mohamed,23,00:00,60:06,1,2,Starting XI,Substitution - Off (Tactical)
15998,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
15998,Allan Romeo Nyom,17,84:18,,2,,Substitution - On (Tactical),Final Whistle
15998,Youssef En-Nesyri,23,00:00,,1,,Starting XI,Final Whistle
15998,Unai Bustinza Martínez,4,00:00,,1,,Starting XI,Final Whistle
15998,Rubén Salvador Pérez Del Mármol,15,00:00,,1,,Starting XI,Final Whistle
15998,Raúl García Carnero,5,00:00,,1,,Starting XI,Final Whistle
15998,Nabil El Zhar,17,00:00,84:18,1,2,Starting XI,Substitution - Off (Tactical)
15998,Iván Cuéllar Sacristán,1,00:00,,1,,Starting XI,Final Whistle
15998,Sabin Merino Zuloaga,13,81:11,,2,,Substitution - On (Injury),Final Whistle
15998,Mikel Vesga Arruti,13,00:00,81:11,1,2,Starting XI,Substitution - Off (Injury)
15998,Juan Francisco Moreno Fuertes,7,00:00,,1,,Starting XI,Final Whistle
15998,Gerard Gumbau Garriga,21,73:28,,2,,Substitution - On (Tactical),Final Whistle
15998,Jonathan Cristian Silva,8,00:00,,1,,Starting XI,Final Whistle
15998,Óscar Rodríguez Arnaiz,21,00:00,73:28,1,2,Starting XI,Substitution - Off (Tactical)
15998,Rodrigo Tarín Higón,3,00:00,,1,,Starting XI,Final Whistle
16010,Yuri Berchiche Izeta,16,00:00,,1,,Starting XI,Final Whistle
16010,Mikel San José Domínguez,11,66:44,,2,,Substitution - On (Tactical),Final Whistle
16010,Markel Susaeta Laskurain,12,00:00,,1,,Starting XI,Final Whistle
16010,Raúl García Escudero,22,00:00,,1,,Starting XI,Final Whistle
16010,Iñaki Williams Arthuer,24,00:00,78:06,1,2,Starting XI,Substitution - Off (Tactical)
16010,Aritz Aduriz Zubeldia,24,78:06,,2,,Substitution - On (Tactical),Final Whistle
16010,Beñat Etxebarria Urkiaga,11,00:00,66:44,1,2,Starting XI,Substitution - Off (Tactical)
16010,Óscar de Marcos Arana,2,00:00,,1,,Starting XI,Final Whistle
16010,Íñigo Martínez Berridi,5,00:00,22:46,1,1,Starting XI,Substitution - Off (Injury)
16010,Daniel García Carrillo,9,00:00,,1,,Starting XI,Final Whistle
16010,Mikel Balenziaga Oruesagasti,6,00:00,,1,,Starting XI,Final Whistle
16010,Yeray Álvarez López,3,00:00,,1,,Starting XI,Final Whistle
16010,Peru Nolaskoain Esnal,5,22:46,,1,,Substitution - On (Injury),Final Whistle
16010,Unai Simón Mendibil,1,00:00,,1,,Starting XI,Final Whistle
16010,Philippe Coutinho Correia,21,00:00,,1,,Starting XI,Final Whistle
16010,Sergio Busquets i Burgos,10,50:13,57:07,2,2,Substitution - On (Tactical),Tactical Shift
